Training parameters
    dropout_rate: [0.2, 0.2]
    seed: 0
    thr: 1.0
    learning_rate: 0.002
    weight_decay: 0.004
    epochs: 100
    batch_size: 32
    accumulation_steps: 1
    warmup_ratio: 0.05
    plateau_ratio: 0.05
    data_path: /home/Ai3023244135/het/SHD
    no_clip: False

Model parameters
    self_rec: True
    learning_rho: True
    bias: False
    n_in: 700
    n_hid: [128, 64]
    n_out: 20
    dt: 0.001
    learning_w: True
    rho_l: 0.0
    rho_h: 1.0
    thr: 1.0
    tau_r: 0.02
epoch:  53, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9130, Best Acc: 0.9187
epoch:  54, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9121, Best Acc: 0.9187
epoch:  55, Train Loss: 0.00, Train Acc: 0.9996, Valid Acc: 0.9218, Best Acc: 0.9218
epoch:  56, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9214, Best Acc: 0.9218
epoch:  57, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9139, Best Acc: 0.9218
epoch:  58, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9143, Best Acc: 0.9218
epoch:  59, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9165, Best Acc: 0.9218
epoch:  60, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9183, Best Acc: 0.9218
epoch:  61, Train Loss: 0.00, Train Acc: 0.9996, Valid Acc: 0.9170, Best Acc: 0.9218
epoch:  62, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9148, Best Acc: 0.9218
epoch:  63, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9161, Best Acc: 0.9218
epoch:  64, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9121, Best Acc: 0.9218
epoch:  65, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9161, Best Acc: 0.9218
epoch:  66, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9178, Best Acc: 0.9218
epoch:  67, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9143, Best Acc: 0.9218
epoch:  68, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9139, Best Acc: 0.9218
epoch:  69, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9161, Best Acc: 0.9218
epoch:  70, Train Loss: 0.00, Train Acc: 0.9996, Valid Acc: 0.9192, Best Acc: 0.9218
epoch:  71, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9170, Best Acc: 0.9218
epoch:  72, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9112, Best Acc: 0.9218
epoch:  73, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9050, Best Acc: 0.9218
epoch:  74, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9139, Best Acc: 0.9218
epoch:  75, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9121, Best Acc: 0.9218
epoch:  76, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9143, Best Acc: 0.9218
epoch:  77, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9192, Best Acc: 0.9218
epoch:  78, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9174, Best Acc: 0.9218
epoch:  79, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9187, Best Acc: 0.9218
epoch:  80, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9201, Best Acc: 0.9218
epoch:  81, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9121, Best Acc: 0.9218
epoch:  82, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9165, Best Acc: 0.9218
epoch:  83, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9156, Best Acc: 0.9218
epoch:  84, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9170, Best Acc: 0.9218
epoch:  85, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9156, Best Acc: 0.9218
epoch:  86, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9214, Best Acc: 0.9218
epoch:  87, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9143, Best Acc: 0.9218
epoch:  88, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9161, Best Acc: 0.9218
epoch:  89, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9156, Best Acc: 0.9218
epoch:  90, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9165, Best Acc: 0.9218
epoch:  91, Train Loss: 0.00, Train Acc: 1.0000, Valid Acc: 0.9209, Best Acc: 0.9218
epoch:  92, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9218, Best Acc: 0.9218
epoch:  93, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9236, Best Acc: 0.9236
epoch:  94, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9187, Best Acc: 0.9236
epoch:  95, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9125, Best Acc: 0.9236
epoch:  96, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9117, Best Acc: 0.9236
epoch:  97, Train Loss: 0.00, Train Acc: 0.9998, Valid Acc: 0.9178, Best Acc: 0.9236
epoch:  98, Train Loss: 0.00, Train Acc: 0.9996, Valid Acc: 0.9121, Best Acc: 0.9236
epoch:  99, Train Loss: 0.00, Train Acc: 0.9999, Valid Acc: 0.9077, Best Acc: 0.9236
